DataPoints,SequentialTime,ParallelTime
10000,218,6328
20000,222,17321
30000,367,39104
40000,33,96831
50000,123,77840
60000,88,134915
70000,114,136327
80000,66,156230
90000,203,20571
100000,45,93390
